,ID_REF,C vs P0 pvalue,C vs P0 log2fc,Ensembl_ID,Gene_Name
6,117_at,0.017716538033349463,1.3074958333333329,ENSG00000173110,HSPA6
7,117_at,0.017716538033349463,1.3074958333333329,ENSG00000225217,HSPA7
15,1405_i_at,0.000311036838782563,2.009720833333334,ENSG00000274233,CCL5
16,1405_i_at,0.000311036838782563,2.009720833333334,ENSG00000271503,CCL5
98,1552365_at,0.04101636059528898,-1.0615083333333333,ENSG00000006747,SCIN
204,1552487_a_at,0.0010703675635288605,-1.2537208333333343,ENSG00000169594,BNC1
278,1552584_at,0.0005027266813324772,2.454879166666667,ENSG00000096996,IL12RB1
332,1552626_a_at,0.0018114182639470224,-1.4495375,ENSG00000152128,TMEM163
983,1553388_at,1.5873121266670727e-06,-1.6525375000000007,ENSG00000164451,CALHM4
1096,1553494_at,0.013227066673905098,-1.1155125000000004,ENSG00000284856,TDH
1097,1553494_at,0.013227066673905098,-1.1155125000000004,ENSG00000154316,TDH
1098,1553494_at,0.013227066673905098,-1.1155125000000004,ENSG00000293451,TDH
1144,1553537_at,0.0001309954690663664,-1.9911958333333333,ENSG00000186049,KRT73
1150,1553539_at,0.001850465143270767,-1.0576625000000002,ENSG00000170484,KRT74
1204,1553574_at,2.9207218008392453e-05,-1.1284416666666668,ENSG00000184995,IFNE
1219,1553583_a_at,0.019716836657915245,1.0574875000000006,ENSG00000151365,THRSP
1345,1553710_at,0.02461421424859304,-1.2258708333333335,ENSG00000250486,FAM218A
1346,1553711_a_at,0.010993416276575093,-1.0627875000000007,ENSG00000250486,FAM218A
1354,1553722_s_at,2.1594457462342276e-06,-1.0498583333333338,ENSG00000176641,RNF152
1423,1553829_at,0.0014559872165309487,-1.675791666666667,ENSG00000232973,CYP1B1-AS1
1451,1553861_at,0.004856304479975585,-1.292320833333334,ENSG00000166046,TCP11L2
1469,1553882_at,0.00014994187489739702,-1.8222041666666673,ENSG00000248360,LINC00504
1640,1554097_a_at,2.4077601636492436e-06,-1.3171791666666666,ENSG00000171889,MIR31HG
1755,1554240_a_at,0.002953110916686298,1.5981750000000008,ENSG00000005844,ITGAL
1882,1554398_at,0.00018991182296069887,-2.942612499999999,ENSG00000185674,LYG2
2072,1554592_a_at,0.0004493737927461453,-1.8071666666666677,ENSG00000105143,SLC1A6
2073,1554593_s_at,0.005382666127593816,-1.9628333333333332,ENSG00000105143,SLC1A6
2166,1554712_a_at,0.007737721610861769,1.2434333333333334,ENSG00000156689,GLYATL2
2332,1554899_s_at,0.0004007891425113097,1.4515375000000006,ENSG00000158869,FCER1G
2708,1555349_a_at,0.006702769951815961,1.1129625,ENSG00000160255,ITGB2
2977,1555673_at,0.017271113256504704,-6.372820833333333,ENSG00000292034,KRTAP2-3
2978,1555673_at,0.017271113256504704,-6.372820833333333,ENSG00000262862,KRTAP2-3
2979,1555673_at,0.017271113256504704,-6.372820833333333,ENSG00000212724,KRTAP2-3
3056,1555759_a_at,0.003418024984128234,1.0220749999999996,ENSG00000274233,CCL5
3057,1555759_a_at,0.003418024984128234,1.0220749999999996,ENSG00000271503,CCL5
3151,1555852_at,0.003198174351744814,1.2954375000000011,ENSG00000235540,PSMB8-AS1
3152,1555852_at,0.003198174351744814,1.2954375000000011,ENSG00000231591,PSMB8-AS1
3153,1555852_at,0.003198174351744814,1.2954375000000011,ENSG00000206232,PSMB8-AS1
3154,1555852_at,0.003198174351744814,1.2954375000000011,ENSG00000233089,PSMB8-AS1
3155,1555852_at,0.003198174351744814,1.2954375000000011,ENSG00000206296,PSMB8-AS1
3156,1555852_at,0.003198174351744814,1.2954375000000011,ENSG00000234365,PSMB8-AS1
3157,1555852_at,0.003198174351744814,1.2954375000000011,ENSG00000233140,PSMB8-AS1
3158,1555852_at,0.003198174351744814,1.2954375000000011,ENSG00000204261,PSMB8-AS1
3167,1555854_at,0.0036042849964951352,1.4238999999999997,ENSG00000151632,AKR1C2
3168,1555854_at,0.0036042849964951352,1.4238999999999997,ENSG00000187134,AKR1C1
3605,1556421_at,0.02216234255229462,-1.2574791666666667,ENSG00000248801,C8orf34-AS1
3757,1556643_at,0.0015797251536367168,1.305529166666667,ENSG00000282851,BISPR
4123,1557116_at,0.0001666238752770483,1.7389458333333323,ENSG00000221963,APOL6
5001,1558438_a_at,0.010945516016611208,2.8594166666666663,ENSG00000281947,IGHEP1
5002,1558438_a_at,0.010945516016611208,2.8594166666666663,ENSG00000276192,IGHE
5003,1558438_a_at,0.010945516016611208,2.8594166666666663,ENSG00000253692,IGHEP1
