,ID_REF,P0 vs P12 pvalue,P0 vs P12 log2fc,Ensembl_ID,Gene_Name
18742,206211_at,0.004648901961982606,-1.0669500000000003,ENSG00000007908,SELE
18758,206224_at,0.012728545598030229,1.5256999999999996,ENSG00000170373,CST1
18782,206247_at,0.0440646342514002,-1.0372874999999997,ENSG00000224378,MICB
18783,206247_at,0.0440646342514002,-1.0372874999999997,ENSG00000234218,MICB
18784,206247_at,0.0440646342514002,-1.0372874999999997,ENSG00000231372,MICB
18785,206247_at,0.0440646342514002,-1.0372874999999997,ENSG00000231179,MICB
18786,206247_at,0.0440646342514002,-1.0372874999999997,ENSG00000238289,MICB
18787,206247_at,0.0440646342514002,-1.0372874999999997,ENSG00000206449,MICB
18788,206247_at,0.0440646342514002,-1.0372874999999997,ENSG00000227772,MICB
18789,206247_at,0.0440646342514002,-1.0372874999999997,ENSG00000204516,MICB
18987,206407_s_at,0.00020907714420092846,-2.9394625000000003,ENSG00000181374,CCL13
19070,206479_at,0.030426175377064036,1.0086250000000003,ENSG00000274965,TRPM1
19071,206479_at,0.030426175377064036,1.0086250000000003,ENSG00000134160,TRPM1
19145,206545_at,0.012409475066635157,-1.0891250000000001,ENSG00000178562,CD28
19313,206666_at,0.00024016746818226656,-1.8173875000000006,ENSG00000113088,GZMK
19325,206677_at,0.03924769217877659,3.0791749999999993,ENSG00000262993,KRT31
19326,206677_at,0.03924769217877659,3.0791749999999993,ENSG00000292029,KRT31
19327,206677_at,0.03924769217877659,3.0791749999999993,ENSG00000094796,KRT31
19369,206715_at,0.005911945433539972,-1.4643875,ENSG00000105967,TFEC
19408,206749_at,0.007056579165567198,-1.6064249999999998,ENSG00000158485,CD1B
19614,206914_at,0.0009838343434950415,-1.21725,ENSG00000109943,CRTAM
19689,206969_at,0.04754791718313716,3.661274999999998,ENSG00000262045,KRT34
19691,206969_at,0.04754791718313716,3.661274999999998,ENSG00000292033,KRT34
19692,206969_at,0.04754791718313716,3.661274999999998,ENSG00000131737,KRT34
19697,206974_at,0.00287348553844961,-1.1168874999999998,ENSG00000172215,CXCR6
19707,206978_at,0.001584017191323212,-1.4979500000000012,ENSG00000121807,CCR2
19719,206987_x_at,0.015490322112180124,1.1160875000000008,ENSG00000156427,FGF18
19726,206994_at,0.002789455275686786,1.0117000000000003,ENSG00000101441,CST4
19952,207146_at,0.015261041452130957,3.141462500000001,ENSG00000108759,KRT32
19953,207147_at,0.001582118113563469,2.047575,ENSG00000115844,DLX2
20107,207277_at,6.923675784541384e-05,-1.5327875000000004,ENSG00000090659,CD209
20231,207328_at,0.003482159546000493,-1.1033999999999997,ENSG00000161905,ALOX15
20395,207457_s_at,0.028594996985790617,3.5569375,ENSG00000259101,LY6G6F-LY6G6D
20396,207457_s_at,0.028594996985790617,3.5569375,ENSG00000225993,LY6G6D
20397,207457_s_at,0.028594996985790617,3.5569375,ENSG00000258635,LY6G6F-LY6G6D
20398,207457_s_at,0.028594996985790617,3.5569375,ENSG00000226603,LY6G6D
20399,207457_s_at,0.028594996985790617,3.5569375,ENSG00000234443,LY6G6D
20400,207457_s_at,0.028594996985790617,3.5569375,ENSG00000236902,LY6G6D
20401,207457_s_at,0.028594996985790617,3.5569375,ENSG00000206402,LY6G6D
20402,207457_s_at,0.028594996985790617,3.5569375,ENSG00000235302,LY6G6D
20403,207457_s_at,0.028594996985790617,3.5569375,ENSG00000258880,LY6G6F-LY6G6D
20404,207457_s_at,0.028594996985790617,3.5569375,ENSG00000250641,LY6G6F-LY6G6D
20405,207457_s_at,0.028594996985790617,3.5569375,ENSG00000244355,LY6G6D
20654,207651_at,0.000739423266862632,-1.272475,ENSG00000174946,GPR171
20683,207669_at,0.0009029789269774482,3.4309624999999997,ENSG00000170523,KRT83
20839,207787_at,0.03433356311189741,4.300062500000001,ENSG00000263012,KRT33B
20840,207787_at,0.03433356311189741,4.300062500000001,ENSG00000292028,KRT33B
20841,207787_at,0.03433356311189741,4.300062500000001,ENSG00000131738,KRT33B
21214,208092_s_at,0.001884261792053426,1.398225,ENSG00000197872,CYRIA
21247,208121_s_at,4.074003170950392e-06,-1.0326249999999995,ENSG00000151490,PTPRO
21375,208216_at,0.0033967947950993213,1.1301375,ENSG00000108813,DLX4
21492,208290_s_at,0.00019641761837348715,1.0970749999999985,ENSG00000272533,SNORA28
21493,208290_s_at,0.00019641761837348715,1.0970749999999985,ENSG00000100664,EIF5
21569,208335_s_at,0.0001940899970573854,-1.0444125,ENSG00000213088,ACKR1
21763,208483_x_at,0.020648702524881588,4.106249999999999,ENSG00000261986,KRT33A
21764,208483_x_at,0.020648702524881588,4.106249999999999,ENSG00000292027,KRT33A
21765,208483_x_at,0.020648702524881588,4.106249999999999,ENSG00000006059,KRT33A
21835,208532_x_at,0.007835078905532367,3.6375875000000013,ENSG00000241233,KRTAP5-8
22183,208747_s_at,0.0001638155684897076,-1.0536999999999992,ENSG00000182326,C1S
22404,208894_at,0.0008008481819038141,-1.0503375000000013,ENSG00000277263,HLA-DRA
22405,208894_at,0.0008008481819038141,-1.0503375000000013,ENSG00000226260,HLA-DRA
22406,208894_at,0.0008008481819038141,-1.0503375000000013,ENSG00000228987,HLA-DRA
22407,208894_at,0.0008008481819038141,-1.0503375000000013,ENSG00000227993,HLA-DRA
22408,208894_at,0.0008008481819038141,-1.0503375000000013,ENSG00000230726,HLA-DRA
22409,208894_at,0.0008008481819038141,-1.0503375000000013,ENSG00000206308,HLA-DRA
22410,208894_at,0.0008008481819038141,-1.0503375000000013,ENSG00000234794,HLA-DRA
22411,208894_at,0.0008008481819038141,-1.0503375000000013,ENSG00000204287,HLA-DRA
22673,209083_at,0.0019783632987749812,-1.0099625000000003,ENSG00000102879,CORO1A
23291,209546_s_at,0.0001301711671713913,-1.181537500000001,ENSG00000100342,APOL1
23353,209606_at,0.005904563052254253,-1.1210000000000004,ENSG00000115165,CYTIP
23429,209670_at,0.002106060734036792,-1.0676499999999995,ENSG00000277734,TRAC
23505,209734_at,0.0004442880308381694,-1.2488375000000005,ENSG00000123338,NCKAP1L
23577,209795_at,0.006802694997431347,-1.2763750000000007,ENSG00000110848,CD69
23598,209813_x_at,0.0029554859719092856,-1.30335,ENSG00000227191,TRGC2
23599,209813_x_at,0.0029554859719092856,-1.30335,ENSG00000211689,TRGC1
23600,209813_x_at,0.0029554859719092856,-1.30335,ENSG00000289746,TARP
23611,209823_x_at,7.372296506640028e-05,-1.4999000000000002,ENSG00000233209,HLA-DQB1
23612,209823_x_at,7.372296506640028e-05,-1.4999000000000002,ENSG00000231286,HLA-DQB1
23613,209823_x_at,7.372296506640028e-05,-1.4999000000000002,ENSG00000231939,HLA-DQB1
23713,209901_x_at,0.0009233516000066842,-1.3708500000000008,ENSG00000234836,AIF1
23714,209901_x_at,0.0009233516000066842,-1.3708500000000008,ENSG00000237727,AIF1
23715,209901_x_at,0.0009233516000066842,-1.3708500000000008,ENSG00000206428,AIF1
23716,209901_x_at,0.0009233516000066842,-1.3708500000000008,ENSG00000235985,AIF1
23717,209901_x_at,0.0009233516000066842,-1.3708500000000008,ENSG00000235588,AIF1
23718,209901_x_at,0.0009233516000066842,-1.3708500000000008,ENSG00000204472,AIF1
23748,209921_at,0.007965468664213288,1.7713625000000004,ENSG00000151012,SLC7A11
23751,209924_at,0.0008245848830038668,-3.042725,ENSG00000278006,CCL18
23752,209924_at,0.0008245848830038668,-3.042725,ENSG00000278167,CCL18
23753,209924_at,0.0008245848830038668,-3.042725,ENSG00000275385,CCL18
23809,209969_s_at,0.0003011802030882675,-1.724924999999999,ENSG00000115415,STAT1
23927,210072_at,0.0017279172533108463,-1.9110000000000005,ENSG00000172724,CCL19
24062,210164_at,0.0028941534401704964,-1.2473875000000003,ENSG00000100453,GZMB
24275,210319_x_at,0.026842298914137384,1.3154249999999994,ENSG00000120149,MSX2
24279,210321_at,0.00010045672267044302,-1.2693124999999998,ENSG00000100450,GZMH
24558,210538_s_at,0.0025657935800564146,-1.4485124999999996,ENSG00000023445,BIRC3
25044,210889_s_at,0.0006530760960760419,-1.2477,ENSG00000072694,FCGR2B
25093,210915_x_at,0.00046519280870232935,-1.6185124999999996,ENSG00000281981,TRBC1
25094,210915_x_at,0.00046519280870232935,-1.6185124999999996,ENSG00000211751,TRBC1
25159,210972_x_at,0.0008514874041848739,-1.0816125000000003,ENSG00000277734,TRAC
25169,210982_s_at,0.0006795579482383862,-1.0873000000000008,ENSG00000277263,HLA-DRA
25170,210982_s_at,0.0006795579482383862,-1.0873000000000008,ENSG00000226260,HLA-DRA
25171,210982_s_at,0.0006795579482383862,-1.0873000000000008,ENSG00000228987,HLA-DRA
25172,210982_s_at,0.0006795579482383862,-1.0873000000000008,ENSG00000227993,HLA-DRA
25173,210982_s_at,0.0006795579482383862,-1.0873000000000008,ENSG00000230726,HLA-DRA
25174,210982_s_at,0.0006795579482383862,-1.0873000000000008,ENSG00000206308,HLA-DRA
25175,210982_s_at,0.0006795579482383862,-1.0873000000000008,ENSG00000234794,HLA-DRA
25176,210982_s_at,0.0006795579482383862,-1.0873000000000008,ENSG00000204287,HLA-DRA
25239,211029_x_at,0.005082554944583962,1.4298625,ENSG00000156427,FGF18
25444,211144_x_at,0.0019066387518089083,-1.2832499999999993,ENSG00000227191,TRGC2
25445,211144_x_at,0.0019066387518089083,-1.2832499999999993,ENSG00000211689,TRGC1
25446,211144_x_at,0.0019066387518089083,-1.2832499999999993,ENSG00000289746,TARP
25664,211339_s_at,0.006919361943826339,-1.0657874999999999,ENSG00000113263,ITK
26111,211654_x_at,0.02950309345580971,-1.0482125000000009,ENSG00000179344,HLA-DQB1
26113,211656_x_at,0.0006180697395215657,-1.1069624999999998,ENSG00000206237,HLA-DQB1
26114,211656_x_at,0.0006180697395215657,-1.1069624999999998,ENSG00000225824,HLA-DQB1
26115,211656_x_at,0.0006180697395215657,-1.1069624999999998,ENSG00000233209,HLA-DQB1
26116,211656_x_at,0.0006180697395215657,-1.1069624999999998,ENSG00000231286,HLA-DQB1
26117,211656_x_at,0.0006180697395215657,-1.1069624999999998,ENSG00000206302,HLA-DQB1
26118,211656_x_at,0.0006180697395215657,-1.1069624999999998,ENSG00000231939,HLA-DQB1
26290,211742_s_at,0.003816602722422238,-1.010787500000001,ENSG00000291721,EVI2B
26291,211742_s_at,0.003816602722422238,-1.010787500000001,ENSG00000185862,EVI2B
26360,211796_s_at,0.0006723683919692538,-1.7759875000000012,ENSG00000281981,TRBC1
26361,211796_s_at,0.0006723683919692538,-1.7759875000000012,ENSG00000276849,TRBC2
26362,211796_s_at,0.0006723683919692538,-1.7759875000000012,ENSG00000211751,TRBC1
26363,211796_s_at,0.0006723683919692538,-1.7759875000000012,ENSG00000211772,TRBC2
26654,211991_s_at,0.00048120446638555387,-1.0835125000000012,ENSG00000228163,HLA-DPA1
26655,211991_s_at,0.00048120446638555387,-1.0835125000000012,ENSG00000229685,HLA-DPA1
26656,211991_s_at,0.00048120446638555387,-1.0835125000000012,ENSG00000224103,HLA-DPA1
26657,211991_s_at,0.00048120446638555387,-1.0835125000000012,ENSG00000235844,HLA-DPA1
26658,211991_s_at,0.00048120446638555387,-1.0835125000000012,ENSG00000206291,HLA-DPA1
26659,211991_s_at,0.00048120446638555387,-1.0835125000000012,ENSG00000168384,HLA-DPA1
26660,211991_s_at,0.00048120446638555387,-1.0835125000000012,ENSG00000236177,HLA-DPA1
26661,211991_s_at,0.00048120446638555387,-1.0835125000000012,ENSG00000231389,HLA-DPA1
27421,212587_s_at,0.0009779970421979025,-1.2754375000000024,ENSG00000081237,PTPRC
27422,212588_at,0.0005629301637041003,-1.2331875000000014,ENSG00000081237,PTPRC
27524,212671_s_at,0.005183351363321069,-1.2931249999999999,ENSG00000225890,HLA-DQA1
27525,212671_s_at,0.005183351363321069,-1.2931249999999999,ENSG00000236418,HLA-DQA1
27526,212671_s_at,0.005183351363321069,-1.2931249999999999,ENSG00000223793,HLA-DQA2
27527,212671_s_at,0.005183351363321069,-1.2931249999999999,ENSG00000231823,HLA-DQA2
27528,212671_s_at,0.005183351363321069,-1.2931249999999999,ENSG00000257473,HLA-DQA2
27529,212671_s_at,0.005183351363321069,-1.2931249999999999,ENSG00000233192,HLA-DQA2
27530,212671_s_at,0.005183351363321069,-1.2931249999999999,ENSG00000228284,HLA-DQA1
27531,212671_s_at,0.005183351363321069,-1.2931249999999999,ENSG00000206301,HLA-DQA2
27532,212671_s_at,0.005183351363321069,-1.2931249999999999,ENSG00000225103,HLA-DQA2
27533,212671_s_at,0.005183351363321069,-1.2931249999999999,ENSG00000231526,HLA-DQA2
27534,212671_s_at,0.005183351363321069,-1.2931249999999999,ENSG00000206305,HLA-DQA1
27535,212671_s_at,0.005183351363321069,-1.2931249999999999,ENSG00000232062,HLA-DQA1
27536,212671_s_at,0.005183351363321069,-1.2931249999999999,ENSG00000237541,HLA-DQA2
27537,212671_s_at,0.005183351363321069,-1.2931249999999999,ENSG00000196735,HLA-DQA1
28088,213095_x_at,0.000793839798955741,-1.385625,ENSG00000234836,AIF1
28089,213095_x_at,0.000793839798955741,-1.385625,ENSG00000237727,AIF1
28090,213095_x_at,0.000793839798955741,-1.385625,ENSG00000206428,AIF1
28091,213095_x_at,0.000793839798955741,-1.385625,ENSG00000235985,AIF1
28092,213095_x_at,0.000793839798955741,-1.385625,ENSG00000235588,AIF1
28093,213095_x_at,0.000793839798955741,-1.385625,ENSG00000204472,AIF1
28206,213193_x_at,0.0009195968251432526,-1.619037500000001,ENSG00000281981,TRBC1
28207,213193_x_at,0.0009195968251432526,-1.619037500000001,ENSG00000211751,TRBC1
28553,213475_s_at,0.001459779028558427,-1.3225999999999996,ENSG00000005844,ITGAL
28639,213537_at,0.01482955945859151,-1.2119749999999998,ENSG00000228163,HLA-DPA1
28640,213537_at,0.01482955945859151,-1.2119749999999998,ENSG00000229685,HLA-DPA1
28641,213537_at,0.01482955945859151,-1.2119749999999998,ENSG00000224103,HLA-DPA1
28642,213537_at,0.01482955945859151,-1.2119749999999998,ENSG00000235844,HLA-DPA1
28643,213537_at,0.01482955945859151,-1.2119749999999998,ENSG00000206291,HLA-DPA1
28644,213537_at,0.01482955945859151,-1.2119749999999998,ENSG00000168384,HLA-DPA1
28645,213537_at,0.01482955945859151,-1.2119749999999998,ENSG00000236177,HLA-DPA1
28646,213537_at,0.01482955945859151,-1.2119749999999998,ENSG00000231389,HLA-DPA1
28648,213539_at,0.0005126746316310096,-1.3342375000000004,ENSG00000167286,CD3D
28861,213711_at,0.007222979241146504,3.8077500000000004,ENSG00000205426,KRT81
28981,213797_at,0.0006650780209990569,-1.2650374999999987,ENSG00000134321,RSAD2
29109,213888_s_at,0.01650753275175842,-1.0833750000000002,ENSG00000009790,TRAF3IP3
29149,213915_at,3.1954459631008735e-06,-1.0584375000000001,ENSG00000105374,NKG7
29284,214022_s_at,0.0002596930998181038,-1.0086999999999993,ENSG00000185885,IFITM1
29317,214038_at,5.7134231281284265e-06,-1.9609375,ENSG00000108700,CCL8
29340,214059_at,0.006936933619748749,-1.395525000000001,ENSG00000137965,IFI44
29870,214450_at,0.0007245053876909393,-1.2379000000000002,ENSG00000172543,CTSW
29873,214453_s_at,0.0007323570031885587,-1.6139125000000005,ENSG00000137965,IFI44
29963,214517_at,0.0033403868704819832,2.1533749999999996,ENSG00000254997,KRTAP5-9
30101,214567_s_at,0.00128731352089871,-1.0574124999999999,ENSG00000143185,XCL2
30102,214567_s_at,0.00128731352089871,-1.0574124999999999,ENSG00000143184,XCL1
30167,214617_at,7.820167463470674e-06,-1.5167125000000006,ENSG00000180644,PRF1
30754,215049_x_at,0.002914890834886089,-1.1834249999999997,ENSG00000177575,CD163
30756,215051_x_at,0.0007587763637427985,-1.448312500000002,ENSG00000234836,AIF1
30757,215051_x_at,0.0007587763637427985,-1.448312500000002,ENSG00000237727,AIF1
30758,215051_x_at,0.0007587763637427985,-1.448312500000002,ENSG00000206428,AIF1
30759,215051_x_at,0.0007587763637427985,-1.448312500000002,ENSG00000235985,AIF1
30760,215051_x_at,0.0007587763637427985,-1.448312500000002,ENSG00000235588,AIF1
30761,215051_x_at,0.0007587763637427985,-1.448312500000002,ENSG00000204472,AIF1
30949,215189_at,0.033208427365755515,3.150199999999998,ENSG00000170442,KRT86
31720,215784_at,0.0022356913894422377,-1.3951874999999996,ENSG00000158488,CD1E
31745,215806_x_at,0.0006441305449893551,-1.3635750000000004,ENSG00000227191,TRGC2
31746,215806_x_at,0.0006441305449893551,-1.3635750000000004,ENSG00000211689,TRGC1
31747,215806_x_at,0.0006441305449893551,-1.3635750000000004,ENSG00000289746,TARP
32845,216598_s_at,0.0015255240763506026,-1.3481625,ENSG00000108691,CCL2
33105,216810_at,0.020170158080021663,3.9716250000000004,ENSG00000292053,KRTAP4-7
33107,216810_at,0.020170158080021663,3.9716250000000004,ENSG00000240871,KRTAP4-7
33153,216834_at,0.001080443734194036,-1.3230749999999993,ENSG00000090104,RGS1
33304,216920_s_at,0.002388112552879366,-1.5171875000000004,ENSG00000227191,TRGC2
33305,216920_s_at,0.002388112552879366,-1.5171875000000004,ENSG00000211689,TRGC1
33306,216920_s_at,0.002388112552879366,-1.5171875000000004,ENSG00000289746,TARP
33307,216921_s_at,0.04903292963150762,3.224025,ENSG00000197079,KRT35
33617,217147_s_at,0.006997664577883745,-1.4465250000000003,ENSG00000163519,TRAT1
34086,217478_s_at,0.0004777379647603663,-1.007950000000001,ENSG00000241394,HLA-DMA
34087,217478_s_at,0.0004777379647603663,-1.007950000000001,ENSG00000243189,HLA-DMA
34088,217478_s_at,0.0004777379647603663,-1.007950000000001,ENSG00000243719,HLA-DMA
34089,217478_s_at,0.0004777379647603663,-1.007950000000001,ENSG00000242361,HLA-DMA
34090,217478_s_at,0.0004777379647603663,-1.007950000000001,ENSG00000242685,HLA-DMA
34091,217478_s_at,0.0004777379647603663,-1.007950000000001,ENSG00000239463,HLA-DMA
34092,217478_s_at,0.0004777379647603663,-1.007950000000001,ENSG00000243215,HLA-DMA
34093,217478_s_at,0.0004777379647603663,-1.007950000000001,ENSG00000204257,HLA-DMA
34340,217678_at,0.004763658096408681,1.5520875000000003,ENSG00000151012,SLC7A11
34476,217767_at,0.00273871146073642,-1.1247750000000014,ENSG00000125730,C3
35075,218266_s_at,0.0018933812968863549,1.4746999999999995,ENSG00000107130,NCS1
35235,218400_at,0.0005739367105674851,-1.3399999999999999,ENSG00000111331,OAS3
35929,218980_at,0.00021871819596507816,1.0709125000000004,ENSG00000134775,FHOD3
35937,218986_s_at,5.079339389902145e-05,-1.0992250000000006,ENSG00000137628,DDX60
36281,219270_at,0.0038216104875452976,2.9059749999999998,ENSG00000128965,CHAC1
36377,219352_at,0.000315853259226663,-1.0895750000000008,ENSG00000138642,HERC6
36394,219369_s_at,0.009762835360840674,1.0203500000000005,ENSG00000277276,OTUB2
36395,219369_s_at,0.009762835360840674,1.0203500000000005,ENSG00000089723,OTUB2
36415,219385_at,0.00017456409726303182,-1.0255999999999998,ENSG00000158714,SLAMF8
36416,219386_s_at,3.415546025710963e-05,-2.0004500000000007,ENSG00000158714,SLAMF8
36563,219519_s_at,0.01329534734353027,-1.182525,ENSG00000088827,SIGLEC1
36725,219666_at,0.0004214812575065863,-1.5787249999999986,ENSG00000110077,MS4A6A
36781,219716_at,0.0001332950923915902,-1.0938375000000002,ENSG00000221963,APOL6
36915,219832_s_at,0.008652670011025185,1.4436750000000007,ENSG00000123364,HOXC13
37042,219932_at,0.003322344332929371,1.308275,ENSG00000113396,SLC27A6
37060,219947_at,0.00045535222534812884,-1.0678625000000004,ENSG00000111729,CLEC4A
37228,220090_at,0.0034784261765267205,1.2796625000000006,ENSG00000143536,CRNN
37461,220256_s_at,8.76279537736812e-05,1.2786,ENSG00000237624,OXCT2P1
37462,220256_s_at,8.76279537736812e-05,1.2786,ENSG00000198754,OXCT2
37544,220330_s_at,0.0019524562445574294,-1.360175,ENSG00000155307,SAMSN1
37575,220351_at,0.002985273398054329,-1.0154874999999999,ENSG00000225415,ACKR4P1
37576,220351_at,0.002985273398054329,-1.0154874999999999,ENSG00000129048,ACKR4
37919,220635_at,0.0016816492771906393,2.43745,ENSG00000232127,PSORS1C2
37920,220635_at,0.0016816492771906393,2.43745,ENSG00000224544,PSORS1C2
37921,220635_at,0.0016816492771906393,2.43745,ENSG00000234605,PSORS1C2
37922,220635_at,0.0016816492771906393,2.43745,ENSG00000227246,PSORS1C2
37923,220635_at,0.0016816492771906393,2.43745,ENSG00000206459,PSORS1C2
37924,220635_at,0.0016816492771906393,2.43745,ENSG00000204538,PSORS1C2
38089,220779_at,0.02805254906692028,2.1618875000000006,ENSG00000280549,PADI3
38090,220779_at,0.02805254906692028,2.1618875000000006,ENSG00000142619,PADI3
38308,220970_s_at,0.033818274610459914,3.7957124999999987,ENSG00000292035,KRTAP2-4
38309,220970_s_at,0.033818274610459914,3.7957124999999987,ENSG00000263091,KRTAP2-4
38310,220970_s_at,0.033818274610459914,3.7957124999999987,ENSG00000213417,KRTAP2-4
